"CODE_SET","CDF_MEANING","CKI"
"4","PATID_V4","CKI.CODEVALUE!14360"
"4","PBSID","CKI.CODEVALUE!2562039"
"4","PERSON NAME","CKI.CODEVALUE!3801"
"4","PLACER ORDER","CKI.CODEVALUE!11412"
"4","PRN","CKI.CODEVALUE!2624"
"4","PXR","CKI.CODEVALUE!3250829"
"4","REF_MRN","CKI.CODEVALUE!56411"
"4","SHIN","CKI.CODEVALUE!9587"
"4","SSN","CKI.CODEVALUE!2626"
"4","TAXPAYERID","CKI.CODEVALUE!4201478965"
"4","TEMPPRIMARY","CKI.CODEVALUE!4201478966"
"4","UNOS","CKI.CODEVALUE!12379"
"4","UNOSD","CKI.CODEVALUE!3250823"
"4","VERSION","CKI.CODEVALUE!3862199"
"8","ACTIVE","CKI.CODEVALUE!2627"
"8","ALTERED","CKI.CODEVALUE!16901"
"8","ANTICIPATED","CKI.CODEVALUE!7981"
"8","AUTH","CKI.CODEVALUE!2628"
"8","C_TRANSCRIBE","CKI.CODEVALUE!421865"
"8","CANCELLED","CKI.CODEVALUE!2630"
"8","DICTATED","CKI.CODEVALUE!28281"
"8","IN ERROR","CKI.CODEVALUE!8419"
"8","IN LAB","CKI.CODEVALUE!2629"
"8","IN PROGRESS","CKI.CODEVALUE!2637"
"8","INERRNOMUT","CKI.CODEVALUE!20644"
"8","INERRNOVIEW","CKI.CODEVALUE!20645"
"8","INERROR","CKI.CODEVALUE!7982"
"8","MODIFIED","CKI.CODEVALUE!2636"
"8","NOT DONE","CKI.CODEVALUE!2631"
"8","REJECTED","CKI.CODEVALUE!2563990"
"8","SUPERSEDED","CKI.CODEVALUE!2635"
"8","TRANSCRIBED","CKI.CODEVALUE!2632"
"8","UNAUTH","CKI.CODEVALUE!2634"
"8","UNKNOWN","CKI.CODEVALUE!2633"
"13","AP RES ENTRY","CKI.CODEVALUE!9588"
"13","APIMAGEMGMT","CKI.CODEVALUE!57135"
"13","CERNER","CKI.CODEVALUE!5105"
"13","EKS","CKI.CODEVALUE!2156293"
"13","ESIGENERATED","CKI.CODEVALUE!4101268245"
"13","OUTREACH","CKI.CODEVALUE!2220628"
"13","P","CKI.CODEVALUE!7983"
"13","UNKNOWN","CKI.CODEVALUE!9589"
"14","ADMIN NOTES2","CKI.CODEVALUE!15198"
"14","APIMGCHART","CKI.CODEVALUE!107833"
"14","APIMGFRGNID","CKI.CODEVALUE!4201510376"
"14","APNOIMGCHART","CKI.CODEVALUE!107834"
"14","BBPATIENT","CKI.CODEVALUE!5106"
"14","BBPRODUCT","CKI.CODEVALUE!5107"
"14","BBSHIPPING","CKI.CODEVALUE!461609"
"14","CALLBACK COM","CKI.CODEVALUE!2984890"
"14","CALLBACK NOT","CKI.CODEVALUE!2984891"
"14","CANCELREASON","CKI.CODEVALUE!5108"
"14","CASEDOC","CKI.CODEVALUE!22126"
"14","CLINHIST","CKI.CODEVALUE!124252"
"14","CLINICAL COM","CKI.CODEVALUE!3222"
"14","COLLECTION","CKI.CODEVALUE!5109"
"14","COMPREASON","CKI.CODEVALUE!2160684041"
"14","CONTAINER","CKI.CODEVALUE!3934343"
"14","CONTRAREASON","CKI.CODEVALUE!3362445"
"14","CORRECTNOTE","CKI.CODEVALUE!3864394"
"14","DCREASON","CKI.CODEVALUE!2160684040"
"14","DNRCONFIDNTL","CKI.CODEVALUE!12357"
"14","DNRCOUNSEL","CKI.CODEVALUE!32231"
"14","DNRDONATION","CKI.CODEVALUE!12358"
"14","DNROTHER","CKI.CODEVALUE!32232"
"14","DNRRECRUIT","CKI.CODEVALUE!25001"
"14","DONOR","CKI.CODEVALUE!12356"
"14","EARLYLATE RE","CKI.CODEVALUE!2160028002"
"14","ENC COMMENT","CKI.CODEVALUE!2960869"
"14","ENC NOTE","CKI.CODEVALUE!2960870"
"14","GEL","CKI.CODEVALUE!2211294"
"14","GENCLINHIST","CKI.CODEVALUE!124251"
"14","HLA","CKI.CODEVALUE!8422"
"14","HLA HAPLOTYP","CKI.CODEVALUE!8421"
"14","HLA HISTORY","CKI.CODEVALUE!15462"
"14","IMMUNHISTORY","CKI.CODEVALUE!3362420"
"14","INDICATION","CKI.CODEVALUE!3663124"
"14","INTERPDATA","CKI.CODEVALUE!15193"
"14","INTERVIEW","CKI.CODEVALUE!12107447"
"14","INTOVERNOTE","CKI.CODEVALUE!12969883"
"14","LABEL COM","CKI.CODEVALUE!14997"
"14","LOCATIONHIST","CKI.CODEVALUE!3380102"
"14","LOT","CKI.CODEVALUE!9590"
"14","MARNOTE","CKI.CODEVALUE!2457492"
"14","MEDADMININST","CKI.CODEVALUE!15171"
"14","MIXING INSTR","CKI.CODEVALUE!15170"
"14","MM_CONTRACT","CKI.CODEVALUE!3250182"
"14","MM_HISTORY","CKI.CODEVALUE!8420"
"14","MM_INVOICE","CKI.CODEVALUE!15622"
"14","MM_RECEIPT","CKI.CODEVALUE!15623"
"14","MM_VENDOR","CKI.CODEVALUE!15624"
"14","MMDIST","CKI.CODEVALUE!2598221"
"14","MMREQ","CKI.CODEVALUE!2598220"
"14","ORD COMMENT","CKI.CODEVALUE!3944"
"14","ORD NOTE","CKI.CODEVALUE!3945"
"14","ORDERDEFAULT","CKI.CODEVALUE!723952833"
"14","PAT COMMENT","CKI.CODEVALUE!723879784"
"14","PAT NOTE","CKI.CODEVALUE!723879785"
"14","PATHCASE","CKI.CODEVALUE!421505"
"14","PATTOLERANCE","CKI.CODEVALUE!3455329"
"14","PCS_KIT","CKI.CODEVALUE!3759965"
"14","PCS_KIT_DEF","CKI.CODEVALUE!3759966"
"14","PCS_LOT","CKI.CODEVALUE!3759968"
"14","PCS_LOT_DEF","CKI.CODEVALUE!3759967"
"14","PHAFILL","CKI.CODEVALUE!2399203"
"14","PHALBL1","CKI.CODEVALUE!2399199"
"14","PHALBL2","CKI.CODEVALUE!2399200"
"14","PHARM COMMEN","CKI.CODEVALUE!15172"
"14","PHARMNURSECO","CKI.CODEVALUE!434706"
"14","PHARMSIG","CKI.CODEVALUE!2636891"
"14","PHARMSIGALT","CKI.CODEVALUE!2636892"
"14","POSTCARE","CKI.CODEVALUE!22127"
"14","PRECARE","CKI.CODEVALUE!22128"
"14","QC FTNT","CKI.CODEVALUE!4957"
"14","QC RVNT","CKI.CODEVALUE!4958"
"14","QC_COMMENT","CKI.CODEVALUE!3763064"
"14","RADDOSE","CKI.CODEVALUE!4200180182"
"14","RADINTCASE","CKI.CODEVALUE!22953"
"14","RADTRKEVT","CKI.CODEVALUE!46329"
"14","REASONFOR","CKI.CODEVALUE!2008081"
"14","REASONFOREXM","CKI.CODEVALUE!11966"
"14","REQRTREASON","CKI.CODEVALUE!12038744"
"14","RES COMMENT","CKI.CODEVALUE!4918"
"14","RES NOTE","CKI.CODEVALUE!4920"
"14","RESPONSETO","CKI.CODEVALUE!2008082"
"14","REVIEW","CKI.CODEVALUE!9591"
"14","RNADMINNOTE","CKI.CODEVALUE!2936879"
"14","ROUND ROBIN","CKI.CODEVALUE!145727"
"14","RXAERXMSG","CKI.CODEVALUE!4102036002"
"14","SEGMENT","CKI.CODEVALUE!22129"
"14","SIGN LINE","CKI.CODEVALUE!9592"
"14","SPECIALINSTR","CKI.CODEVALUE!3663123"
"14","SPECIMEN","CKI.CODEVALUE!3223"
"14","SYS COMMENT","CKI.CODEVALUE!12353"
"14","SYS NOTE","CKI.CODEVALUE!12354"
"14","TRAVELDEST","CKI.CODEVALUE!3362421"
"14","TRAY","CKI.CODEVALUE!9593"
"14","TROUBL_STEPS","CKI.CODEVALUE!3763063"
"14","UNKNOWN","CKI.CODEVALUE!9594"
"14","VOIDREASON","CKI.CODEVALUE!2160684039"
"15","USA","CKI.CODEVALUE!15329"
"17","ADMIT","CKI.CODEVALUE!17001"
"17","BILLING","CKI.CODEVALUE!3180381"
"17","DISCHARGE","CKI.CODEVALUE!17002"
"17","FINAL","CKI.CODEVALUE!13984"
"17","HC_OTHER","CKI.CODEVALUE!20646"
"17","HC_PRINC","CKI.CODEVALUE!20647"
"17","HC_REFER","CKI.CODEVALUE!20648"
"17","POSTOP","CKI.CODEVALUE!3180378"
"17","PREOP","CKI.CODEVALUE!3180377"
"17","RFV","CKI.CODEVALUE!3180382"
"17","SUGBILLING","CKI.CODEVALUE!3249427"
"17","WORKING","CKI.CODEVALUE!17003"
"19","ACUTECARE","CKI.CODEVALUE!10632"
"19","ADM_PATIENT","CKI.CODEVALUE!2706069"
"19","AMA_FUP","CKI.CODEVALUE!3669286"
"19","C_O_FAM_FRND","CKI.CODEVALUE!10698"
"19","C_O_PDCARGVR","CKI.CODEVALUE!10699"
"19","CARRIER","CKI.CODEVALUE!3669283"
"19","DSC_HSP_MF","CKI.CODEVALUE!2706073"
"19","DSC_OTHR_FUP","CKI.CODEVALUE!3669285"
"19","DSC_OTHR_LGL","CKI.CODEVALUE!3669288"
"19","DSC_OTHR_OP","CKI.CODEVALUE!2706074"
"19","DSC_PSYCH","CKI.CODEVALUE!3669284"
"19","DSC_SAME_LGL","CKI.CODEVALUE!3669287"
"19","DSC_SAME_OP","CKI.CODEVALUE!2706075"
"19","EDDISPO","CKI.CODEVALUE!2706069"
"19","EXP_HOME","CKI.CODEVALUE!2706076"
"19","EXP_OTHER","CKI.CODEVALUE!2706077"
"19","EXP_UNKNOWN","CKI.CODEVALUE!2706078"
"19","HC_IV_THER","CKI.CODEVALUE!2706079"
"19","INPATIENT","CKI.CODEVALUE!3669358"
"19","INTER_CARE","CKI.CODEVALUE!2706081"
"19","LTC","CKI.CODEVALUE!10594"
"19","NORMAL_FUP","CKI.CODEVALUE!3669281"
"19","OTH_HOMCARE","CKI.CODEVALUE!10595"
"19","OTHER","CKI.CODEVALUE!3669282"
"19","OTHER_INST","CKI.CODEVALUE!2706082"
"19","OTHER_SHC","CKI.CODEVALUE!2706070"
"19","REHAB","CKI.CODEVALUE!10592"
"19","RETURN_TRANS","CKI.CODEVALUE!3669289"
"19","SELFCARE","CKI.CODEVALUE!10696"
"19","SNF","CKI.CODEVALUE!10593"
"19","STILL_PAT","CKI.CODEVALUE!2706083"
"19","SWING_BED","CKI.CODEVALUE!2706084"
"21","ASSIST","CKI.CODEVALUE!9595"
"21","AUTHOR","CKI.CODEVALUE!2638"
"21","CANCEL","CKI.CODEVALUE!3700"
"21","COLLECT","CKI.CODEVALUE!4649"
"21","CONFIRM","CKI.CODEVALUE!2160636270"
"21","CONSUMR_REVW","CKI.CODEVALUE!2936922"
"21","CONVEY","CKI.CODEVALUE!3517708"
"21","COPY","CKI.CODEVALUE!12313473"
"21","CORRECT","CKI.CODEVALUE!2646"
"21","COSIGN","CKI.CODEVALUE!2649"
"21","ENDORSE","CKI.CODEVALUE!3517709"
"21","ENDORSESAVE","CKI.CODEVALUE!4102500388"
"21","FLAG","CKI.CODEVALUE!3811237"
"21","FOLLOWUP","CKI.CODEVALUE!4100384581"
"21","INLAB","CKI.CODEVALUE!7984"
"21","INSERT","CKI.CODEVALUE!3829"
"21","MODIFY","CKI.CODEVALUE!2643"
"21","ORDER","CKI.CODEVALUE!2640"
"21","PERFORM","CKI.CODEVALUE!2647"
"21","REMOVE","CKI.CODEVALUE!2645"
"21","REVIEW","CKI.CODEVALUE!3701"
"21","SIGN","CKI.CODEVALUE!2644"
"21","START_ADMIN","CKI.CODEVALUE!2641"
"21","STOP_ADMIN","CKI.CODEVALUE!2642"
"21","TRANSCRIBE","CKI.CODEVALUE!2650"
"21","UNCONFIRM","CKI.CODEVALUE!2160636323"
"21","UNFLAG","CKI.CODEVALUE!3811238"
"21","UNKNOWN","CKI.CODEVALUE!2648"
"21","VERIFY","CKI.CODEVALUE!2639"
"21","WITNESS","CKI.CODEVALUE!3771414"
"22","XMDONOR","CKI.CODEVALUE!2358739"
"23","ACRNEMA","CKI.CODEVALUE!11416"
"23","AH","CKI.CODEVALUE!2651"
"23","APP WML","CKI.CODEVALUE!4000023006"
"23","AS","CKI.CODEVALUE!2652"
"23","AUDIO BASIC","CKI.CODEVALUE!3866551"
"23","AUDIO MPEG","CKI.CODEVALUE!3866552"
"23","CP","CKI.CODEVALUE!3778"
"23","DDIF","CKI.CODEVALUE!2653"
"23","DIO","CKI.CODEVALUE!2660"
"23","GIF","CKI.CODEVALUE!3866549"
"23","HTML","CKI.CODEVALUE!107731"
"23","JPEG","CKI.CODEVALUE!485848"
"23","LONG_BLOB","CKI.CODEVALUE!5110"
"23","LONG_TEXT","CKI.CODEVALUE!5111"
"23","MSWORD","CKI.CODEVALUE!4120367"
"23","NONE","CKI.CODEVALUE!7985"
"23","PACS","CKI.CODEVALUE!2654"
"23","PAPER","CKI.CODEVALUE!7986"
"23","PDF","CKI.CODEVALUE!3866548"
"23","PNG","CKI.CODEVALUE!3866550"
"23","PTIFF","CKI.CODEVALUE!2659"
"23","RTF","CKI.CODEVALUE!3802"
"23","RVS","CKI.CODEVALUE!3702"
"23","TIFF","CKI.CODEVALUE!2655"
"23","UNKNOWN","CKI.CODEVALUE!2658"
"23","URL","CKI.CODEVALUE!2548463"
"23","VIDEO MPEG","CKI.CODEVALUE!3866553"
"23","VOICE","CKI.CODEVALUE!2657"
"23","WINBMP","CKI.CODEVALUE!2656"
"23","WINEMF","CKI.CODEVALUE!16902"
"23","XHTML","CKI.CODEVALUE!4000923808"
"23","XML","CKI.CODEVALUE!107732"
"24","CHILD","CKI.CODEVALUE!2661"
"24","LINK","CKI.CODEVALUE!11415"
"24","ORPHAN","CKI.CODEVALUE!2662"
"24","ROOT","CKI.CODEVALUE!2663"
"24","UNKNOWN","CKI.CODEVALUE!3766"
"25","ALT_IMG_ID","CKI.CODEVALUE!12808258"
"25","APS_IMGCACHE","CKI.CODEVALUE!723875809"
"25","BLOB","CKI.CODEVALUE!2666"
"25","CACHE_ACR","CKI.CODEVALUE!11417"
"25","DHT","CKI.CODEVALUE!14361"
"25","DICOM_SIUID","CKI.CODEVALUE!11418"
"25","DICOM_SUID3","CKI.CODEVALUE!12808259"
"25","DICT","CKI.CODEVALUE!3703"
"25","DMS","CKI.CODEVALUE!14362"
"25","GENERIC","CKI.CODEVALUE!2910756"
"25","IMGCACHE","CKI.CODEVALUE!2798347"
"25","LONG_BLOB","CKI.CODEVALUE!5112"
"25","LONG_TEXT","CKI.CODEVALUE!5113"
"25","MMF","CKI.CODEVALUE!3866501"
"25","NONE","CKI.CODEVALUE!7987"
"25","OTG","CKI.CODEVALUE!124012"
"25","PACS_FOLDER","CKI.CODEVALUE!11419"
"25","PAPER","CKI.CODEVALUE!7988"
"25","PCSDOCIMG","CKI.CODEVALUE!723875057"
"25","ROQ1","CKI.CODEVALUE!2667"
"25","RVS","CKI.CODEVALUE!2668"
"25","SIEMENS","CKI.CODEVALUE!339886"
"25","UNKNOWN","CKI.CODEVALUE!2664"
"25","URL","CKI.CODEVALUE!2548461"
"27","MULTIPLE","CKI.CODEVALUE!4201413559"
"36","AA","CKI.CODEVALUE!2500014332"
"36","AB","CKI.CODEVALUE!2500014330"
"36","AE","CKI.CODEVALUE!4001574097"
"36","AF","CKI.CODEVALUE!2500014333"
"36","AK","CKI.CODEVALUE!4001574098"
"36","AM","CKI.CODEVALUE!2500014336"
"36","AN","CKI.CODEVALUE!4001574100"
"36","AR","CKI.CODEVALUE!2500014337"
"36","ARABIC","CKI.CODEVALUE!24105"
"36","AS","CKI.CODEVALUE!2500014339"
"36","AV","CKI.CODEVALUE!4001574101"
"36","AY","CKI.CODEVALUE!2500014341"
"36","AZ","CKI.CODEVALUE!2500014342"
"36","BA","CKI.CODEVALUE!2500014343"
"36","BE","CKI.CODEVALUE!2500014353"
"36","BG","CKI.CODEVALUE!2500014351"
"36","BH","CKI.CODEVALUE!2500014347"
"36","BI","CKI.CODEVALUE!2500014348"
"36","BM","CKI.CODEVALUE!4001574103"
"36","BN","CKI.CODEVALUE!2500014345"
"36","BO","CKI.CODEVALUE!2500014452"
"36","BR","CKI.CODEVALUE!2500014349"
"36","BS","CKI.CODEVALUE!4001574104"
"36","CA","CKI.CODEVALUE!2500014355"
"36","CE","CKI.CODEVALUE!4001574105"
"36","CH","CKI.CODEVALUE!4001573435"
"36","CHINESE","CKI.CODEVALUE!24158"
"36","CO","CKI.CODEVALUE!2500014357"
"36","CR","CKI.CODEVALUE!4001573436"
"36","CROATION","CKI.CODEVALUE!1003212"
"36","CS","CKI.CODEVALUE!2500014359"
"36","CU","CKI.CODEVALUE!4001573451"
"36","CV","CKI.CODEVALUE!4001573437"
"36","CY","CKI.CODEVALUE!2500014464"
"36","DV","CKI.CODEVALUE!4001573452"
"36","DZ","CKI.CODEVALUE!2500014346"
"36","EE","CKI.CODEVALUE!4001573438"
"36","EL","CKI.CODEVALUE!2500014373"
"36","ENG","CKI.CODEVALUE!6261"
"36","EO","CKI.CODEVALUE!2500014363"
"36","ET","CKI.CODEVALUE!2500014364"
"36","EU","CKI.CODEVALUE!2500014344"
"36","FA","CKI.CODEVALUE!2500014419"
"36","FF","CKI.CODEVALUE!4001573439"
"36","FI","CKI.CODEVALUE!2500014367"
"36","FJ","CKI.CODEVALUE!2500014366"
"36","FO","CKI.CODEVALUE!2500014365"
"36","FRENCH","CKI.CODEVALUE!6262"
"36","FY","CKI.CODEVALUE!2500014369"
"36","GA","CKI.CODEVALUE!2500014386"
"36","GD","CKI.CODEVALUE!2500014430"
"36","GERMAN","CKI.CODEVALUE!24214"
"36","GL","CKI.CODEVALUE!2500014370"
"36","GN","CKI.CODEVALUE!2500014375"
"36","GREEK","CKI.CODEVALUE!1003209"
"36","GU","CKI.CODEVALUE!2500014376"
"36","GV","CKI.CODEVALUE!4001573440"
"36","HA","CKI.CODEVALUE!2500014377"
"36","HEBREW","CKI.CODEVALUE!24229"
"36","HI","CKI.CODEVALUE!2500014379"
"36","HO","CKI.CODEVALUE!4001573441"
"36","HR","CKI.CODEVALUE!2500014358"
"36","HT","CKI.CODEVALUE!4001573442"
"36","HU","CKI.CODEVALUE!2500014380"
"36","HY","CKI.CODEVALUE!2500014338"
"36","HZ","CKI.CODEVALUE!4001573443"
"36","IA","CKI.CODEVALUE!2500014383"
"36","ID","CKI.CODEVALUE!2500014382"
"36","IE","CKI.CODEVALUE!2500014384"
"36","IG","CKI.CODEVALUE!4001573444"
"36","II","CKI.CODEVALUE!4001573445"
"36","IK","CKI.CODEVALUE!2500014385"
"36","IO","CKI.CODEVALUE!4001573446"
"36","IS","CKI.CODEVALUE!2500014381"
"36","IT","CKI.CODEVALUE!1003211"
"36","IU","CKI.CODEVALUE!4001573447"
"36","JAPANESE","CKI.CODEVALUE!24253"
"36","JV","CKI.CODEVALUE!2500014389"
"36","KA","CKI.CODEVALUE!2500014371"
"36","KG","CKI.CODEVALUE!4001573448"
"36","KI","CKI.CODEVALUE!4001573449"
"36","KJ","CKI.CODEVALUE!4001573450"
"36","KK","CKI.CODEVALUE!2500014392"
"36","KL","CKI.CODEVALUE!2500014374"
"36","KM","CKI.CODEVALUE!2500014354"
"36","KN","CKI.CODEVALUE!2500014390"
"36","KO","CKI.CODEVALUE!2500014396"
"36","KR","CKI.CODEVALUE!4001573498"
"36","KS","CKI.CODEVALUE!2500014391"
"36","KU","CKI.CODEVALUE!2500014397"
"36","KV","CKI.CODEVALUE!4001573501"
"36","KW","CKI.CODEVALUE!4001573502"
"36","KY","CKI.CODEVALUE!2500014394"
"36","LA","CKI.CODEVALUE!2500014399"
"36","LB","CKI.CODEVALUE!4001573535"
"36","LG","CKI.CODEVALUE!4001573536"
"36","LI","CKI.CODEVALUE!4001573537"
"36","LN","CKI.CODEVALUE!2500014401"
"36","LO","CKI.CODEVALUE!2500014398"
"36","LT","CKI.CODEVALUE!2500014402"
"36","LU","CKI.CODEVALUE!4001573538"
"36","LV","CKI.CODEVALUE!2500014400"
"36","MG","CKI.CODEVALUE!2500014405"
"36","MH","CKI.CODEVALUE!4001573571"
"36","MI","CKI.CODEVALUE!2500014409"
"36","MK","CKI.CODEVALUE!2500014403"
"36","ML","CKI.CODEVALUE!2500014407"
"36","MN","CKI.CODEVALUE!2500014412"
"36","MR","CKI.CODEVALUE!2500014410"
"36","MT","CKI.CODEVALUE!2500014408"
"36","MY","CKI.CODEVALUE!2500014352"
"36","NA","CKI.CODEVALUE!2500014413"
"36","NB","CKI.CODEVALUE!4001573584"
"36","ND","CKI.CODEVALUE!4001573640"
"36","NE","CKI.CODEVALUE!2500014414"
"36","NG","CKI.CODEVALUE!4001573658"
"36","NN","CKI.CODEVALUE!4001573685"
"36","NO","CKI.CODEVALUE!2500014415"
"36","NR","CKI.CODEVALUE!4001573707"
"36","NV","CKI.CODEVALUE!4001573719"
"36","NY","CKI.CODEVALUE!4001573732"
"36","OC","CKI.CODEVALUE!2500014416"
"36","OJ","CKI.CODEVALUE!4001573755"
"36","OM","CKI.CODEVALUE!2500014331"
"36","OR","CKI.CODEVALUE!2500014417"
"36","OS","CKI.CODEVALUE!4001573784"
"36","OTHER","CKI.CODEVALUE!1003210"
"36","PA","CKI.CODEVALUE!4001573800"
"36","PI","CKI.CODEVALUE!4001573839"
"36","PL","CKI.CODEVALUE!2500014420"
"36","POLISH","CKI.CODEVALUE!1003211"
"36","Q1","CKI.CODEVALUE!1435724041"
"36","QU","CKI.CODEVALUE!2500014423"
"36","RM","CKI.CODEVALUE!2500014424"
"36","RN","CKI.CODEVALUE!2500014395"
"36","RO","CKI.CODEVALUE!2500014425"
"36","RUSSIAN","CKI.CODEVALUE!24379"
"36","RW","CKI.CODEVALUE!2500014393"
"36","SA","CKI.CODEVALUE!2500014429"
"36","SC","CKI.CODEVALUE!4001574043"
"36","SD","CKI.CODEVALUE!2500014436"
"36","SE","CKI.CODEVALUE!4001574058"
"36","SG","CKI.CODEVALUE!2500014428"
"36","SH","CKI.CODEVALUE!2500014432"
"36","SIGN","CKI.CODEVALUE!24415"
"36","SK","CKI.CODEVALUE!2500014439"
"36","SL","CKI.CODEVALUE!2500014440"
"36","SM","CKI.CODEVALUE!2500014427"
"36","SN","CKI.CODEVALUE!2500014435"
"36","SO","CKI.CODEVALUE!2500014441"
"36","SPANISH","CKI.CODEVALUE!24408"
"36","SQ","CKI.CODEVALUE!2500014334"
"36","SR","CKI.CODEVALUE!2500014431"
"36","SS","CKI.CODEVALUE!2500014438"
"36","ST","CKI.CODEVALUE!2500014433"
"36","SU","CKI.CODEVALUE!2500014444"
"36","SW","CKI.CODEVALUE!2500014443"
"36","TA","CKI.CODEVALUE!2500014448"
"36","TE","CKI.CODEVALUE!2500014450"
"36","TG","CKI.CODEVALUE!2500014447"
"36","TH","CKI.CODEVALUE!2500014451"
"36","TI","CKI.CODEVALUE!2500014453"
"36","TK","CKI.CODEVALUE!2500014457"
"36","TL","CKI.CODEVALUE!2500014446"
"36","TN","CKI.CODEVALUE!2500014434"
"36","TO","CKI.CODEVALUE!2500014454"
"36","TR","CKI.CODEVALUE!2500014456"
"36","TS","CKI.CODEVALUE!2500014455"
"36","TT","CKI.CODEVALUE!2500014449"
"36","TW","CKI.CODEVALUE!2500014458"
"36","TY","CKI.CODEVALUE!4001574091"
"36","UG","CKI.CODEVALUE!4001574092"
"36","UK","CKI.CODEVALUE!2500014459"
"36","UR","CKI.CODEVALUE!2500014460"
"36","UZ","CKI.CODEVALUE!2500014461"
"36","VO","CKI.CODEVALUE!2500014463"
"36","WA","CKI.CODEVALUE!4001574094"
"36","WO","CKI.CODEVALUE!2500014465"
"36","XH","CKI.CODEVALUE!2500014466"
"36","YI","CKI.CODEVALUE!2500014467"
"36","YO","CKI.CODEVALUE!2500014468"
"36","ZA","CKI.CODEVALUE!4001574095"
"36","ZU","CKI.CODEVALUE!2500014469"
"38","DIVORCED","CKI.CODEVALUE!6169"
"38","LGL_SPRTN","CKI.CODEVALUE!24470"
"38","LIFE_PTNR","CKI.CODEVALUE!2921051"
"38","MARRIED","CKI.CODEVALUE!6263"
"38","SINGLE","CKI.CODEVALUE!6264"
"38","UNKNOWN","CKI.CODEVALUE!24471"
"38","WIDOW","CKI.CODEVALUE!24472"
"40","BROTHER","CKI.CODEVALUE!3234"
"40","CADAVER_DNR","CKI.CODEVALUE!2654046"
"40","CHLD_NOTRESP","CKI.CODEVALUE!2654119"
"40","CHLD_RESP","CKI.CODEVALUE!2654118"
"40","DAUGHTER","CKI.CODEVALUE!15504"
"40","DONOR","CKI.CODEVALUE!10140"
"40","EMPLOYEE","CKI.CODEVALUE!2654081"
"40","FATHER","CKI.CODEVALUE!3232"
"40","FRIEND","CKI.CODEVALUE!6329"
"40","FSTRCHLD","CKI.CODEVALUE!24475"
"40","GCHLD","CKI.CODEVALUE!24476"
"40","GPARENT","CKI.CODEVALUE!2654051"
"40","HDCP_DPDNT","CKI.CODEVALUE!2654044"
"40","INJRD_PLNTF","CKI.CODEVALUE!2654047"
"40","LIFE_PTNR","CKI.CODEVALUE!2654052"
"40","MNRDPT_MINOR","CKI.CODEVALUE!2654050"
"40","MOTHER","CKI.CODEVALUE!3233"
"40","NIECE_NEPH","CKI.CODEVALUE!2654048"
"40","PARENT","CKI.CODEVALUE!42964"
"40","RECIPIENT","CKI.CODEVALUE!10141"
